LotDescription,Return Month,EvidencedSpend,Sector,SME or Large,,SupplierName,CustomerName
Software as a Service (SaaS),01/10/2012,0,Central Government,SME,,FLYINGBINARY LTD,Defence Procurement Reform
Infrastructure as a Service (IaaS),01/03/2013,540,Central Government,SME,,ONYX GROUP,Parliamentary Information Communication Technologies
Infrastructure as a Service (IaaS),01/07/2012,429.6,Central Government,SME,,ONYX GROUP,Parliamentary Information Communication Technologies
Software as a Service (SaaS),01/08/2012,115,Central Government,SME,,ARCUS GLOBAL LTD,House of Commons
Software as a Service (SaaS),01/03/2013,2250,Central Government,SME,,INOVEM LTD,HM Prison Service Shared Services
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS
Specialist Cloud Services,01/12/2013,7200,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
