LotDescription,Return Month,EvidencedSpend,Sector,SME or Large,,SupplierName,CustomerName
Specialist Cloud Services,01/12/2013,17200,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/10/2013,4900,Central Government,SME,,Methods Consulting Ltd,Cabinet Office
Specialist Cloud Services,01/10/2013,9800,Central Government,SME,,Methods Consulting Ltd,Cabinet Office
Specialist Cloud Services,01/11/2013,8400,Central Government,SME,,Methods Consulting Ltd,Cabinet Office
Specialist Cloud Services,01/12/2013,88833.33,Central Government,SME,,Methods Consulting Ltd,Ministry of Justice
Infrastructure as a Service (IaaS),01/09/2013,781.99,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2013,3900,Central Government,SME,,Methods Consulting Ltd,Home Office
Specialist Cloud Services,01/12/2013,13650,Central Government,SME,,Methods Consulting Ltd,Home Office
Specialist Cloud Services,01/11/2013,14950,Central Government,SME,,Methods Consulting Ltd,Home Office
Infrastructure as a Service (IaaS),01/08/2012,430.7,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence
Specialist Cloud Services,01/12/2013,6400,Central Government,SME,,Methods Consulting Ltd,Home Office
Specialist Cloud Services,01/11/2013,2863.92,Central Government,SME,,Methods Consulting Ltd,Department for Education
Software as a Service (SaaS),01/07/2013,12808.25,Central Government,SME,,GOVDELIVERY INC,Cabinet Office
Software as a Service (SaaS),01/08/2013,12808.25,Central Government,SME,,GOVDELIVERY INC,Cabinet Office
Infrastructure as a Service (IaaS),01/09/2013,529.99,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,Driver and Vehicle Licensing Agency
Infrastructure as a Service (IaaS),01/09/2013,381.72,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence
Infrastructure as a Service (IaaS),01/09/2013,89203.28,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,Crown Commercial Service
Specialist Cloud Services,01/09/2013,5400,Central Government,Large,,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO
Specialist Cloud Services,01/09/2013,31230,Central Government,Large,,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO
Infrastructure as a Service (IaaS),01/01/2013,6138.49,Central Government,Large,,SPECIALIST COMPUTER CENTRE,Cabinet Office
Specialist Cloud Services,01/09/2013,3141.5,Central Government,Large,,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO
Specialist Cloud Services,01/09/2013,2051.6,Central Government,SME,,Deltascheme Ltd,Vehicle Certification Agency
Specialist Cloud Services,01/12/2013,10200,Central Government,SME,,Methods Consulting Ltd,Maritime and Coastguard Agency
Specialist Cloud Services,01/11/2013,6580,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,8930,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/10/2013,11550,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,5700,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/01/2013,88000,Central Government,SME,,Alpine Resourcing Limited,HM Prison Service
Specialist Cloud Services,01/07/2012,4349.4,Central Government,SME,,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service
Specialist Cloud Services,01/08/2012,2150,Central Government,SME,,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service
Specialist Cloud Services,01/11/2013,19158.75,Central Government,SME,,Methods Consulting Ltd,Treasury Solicitors Department
Specialist Cloud Services,01/11/2013,-3328.8,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/10/2013,8262,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,3328.8,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,1927.8,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,4785.9,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,12474,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,9180,Central Government,SME,,Methods Consulting Ltd,Treasury Solicitors Department
Specialist Cloud Services,01/11/2013,12600,Central Government,SME,,Methods Consulting Ltd,Treasury Solicitors Department
Specialist Cloud Services,01/12/2013,9360,Central Government,SME,,Methods Consulting Ltd,Treasury Solicitors Department
Specialist Cloud Services,01/12/2013,8738.1,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,9983.25,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,8745,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,8100,Central Government,SME,,Methods Consulting Ltd,Maritime and Coastguard Agency
Specialist Cloud Services,01/11/2013,12650,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,940,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,9870,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,9870,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,4368,Central Government,SME,,Methods Consulting Ltd,Monitor
Specialist Cloud Services,01/09/2013,459,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/09/2013,8491.5,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/09/2013,33231,Central Government,SME,,North Highland UK Ltd,Education Funding Agency
Specialist Cloud Services,01/11/2013,4563.3,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,2871.66,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,9906.56,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,9570.3,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,3328.8,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/10/2013,4649.4,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,-4649.4,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,890.4,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/10/2013,2968,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,3960,Central Government,SME,,Methods Consulting Ltd,National Audit Office
Specialist Cloud Services,01/10/2013,2835,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,8048.25,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Software as a Service (SaaS),01/08/2013,3980,Central Government,SME,,GOVDELIVERY INC,HM Revenue and Customs
Specialist Cloud Services,01/10/2013,11286,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,3449.25,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,2915,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,5365.5,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,15937.5,Devolved Administrations,SME,,Methods Consulting Ltd,Argyll and Bute Council
Specialist Cloud Services,01/12/2013,15937.5,Devolved Administrations,SME,,Methods Consulting Ltd,Argyll and Bute Council
Infrastructure as a Service (IaaS),01/08/2012,142.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,177.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,177.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,212.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,327,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,399,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Specialist Cloud Services,01/09/2012,2076,Central Government,SME,,Quo Imus Ltd,Student Loans Company Limited
Specialist Cloud Services,01/09/2012,29064,Central Government,SME,,Quo Imus Ltd,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,73411,Central Government,SME,,Methods Consulting Ltd,Monitor
Specialist Cloud Services,01/11/2013,217280,Central Government,SME,,Methods Consulting Ltd,Monitor
Specialist Cloud Services,01/11/2013,69043,Central Government,SME,,Methods Consulting Ltd,Monitor
Software as a Service (SaaS),01/08/2013,117.67,Health,SME,,247Time Limited,Heart of England NHS Foundation Trust
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Education Funding Agency
Software as a Service (SaaS),01/11/2012,3600,Central Government,SME,,NINIAN SOLUTIONS LTD T/A HUDDLE,Forestry Commission
Software as a Service (SaaS),01/08/2013,10000,Central Government,SME,,GOVDELIVERY INC,HM Revenue and Customs
Specialist Cloud Services,01/09/2013,47797.05,Local Government,SME,,North Highland UK Ltd,Mayors Office for Policing and Crime
Specialist Cloud Services,01/03/2013,5400,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/11/2013,4500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,18300,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,45714.28,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,7200,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/10/2013,4000,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,6500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,3750,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,11050,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Infrastructure as a Service (IaaS),01/09/2013,509.13,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs
Specialist Cloud Services,01/11/2012,14000,Devolved Administrations,SME,,TMI SYSTEMS LTD,Denbighshire County Council
Software as a Service (SaaS),01/10/2012,80,Not for Profit,Large,,SYMANTEC LTD,Citizens Advice
Infrastructure as a Service (IaaS),01/08/2012,177.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,300.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,177.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,212.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Software as a Service (SaaS),01/11/2012,25000,Devolved Administrations,SME,,TMI SYSTEMS LTD,Denbighshire County Council
Infrastructure as a Service (IaaS),01/08/2012,300.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,300.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,300.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,212.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Software as a Service (SaaS),01/05/2012,10800,Health,SME,,INOVEM LTD,Oxfordshire PCT
Software as a Service (SaaS),01/10/2012,16000,Health,SME,,@UK Plc,Royal Berkshire NHS Foundation Trust
Specialist Cloud Services,01/01/2013,17600,Local Government,SME,,P3M Systems Ltd,Transport for London
Specialist Cloud Services,01/11/2013,2100,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,18300,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,14430,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,12250,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,45714.28,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,9750,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,35964.28,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,3500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,1750,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,14430,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,19012,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,19012,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,6150,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,1375,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,3900,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/09/2013,22500,Local Government,SME,,Methods Consulting Ltd,Buckinghamshire County Council
Specialist Cloud Services,01/11/2013,24000,Local Government,SME,,Methods Consulting Ltd,Leeds City Council
Software as a Service (SaaS),01/10/2012,120,Not for Profit,Large,,SYMANTEC LTD,Citizens Advice
Specialist Cloud Services,01/12/2013,22416,Police,SME,,Methods Consulting Ltd,Sussex Police
Software as a Service (SaaS),01/09/2013,0,Private Sector,Large,,QINETIQ COMMERCE DECISIONS LTD,Advanced Procurement for Universities and Colleges Limited
Specialist Cloud Services,01/12/2013,16000,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/12/2013,1600,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/12/2013,14400,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/12/2013,4000,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/12/2013,3348.15,Central Government,SME,,Methods Consulting Ltd,The Police And Crime Commission
Specialist Cloud Services,01/11/2013,8400,Central Government,SME,,Methods Consulting Ltd,Cabinet Office
Specialist Cloud Services,01/12/2013,88833.33,Central Government,SME,,Methods Consulting Ltd,Ministry of Justice
Specialist Cloud Services,01/09/2013,16800,Central Government,SME,,Methods Consulting Ltd,Home Office
Specialist Cloud Services,01/07/2012,10710,Central Government,SME,,North Highland UK Ltd,Home Office
Specialist Cloud Services,01/08/2012,9180,Central Government,SME,,North Highland UK Ltd,Home Office
Specialist Cloud Services,01/09/2013,4850.7,Central Government,SME,,North Highland UK Ltd,Home Office
Specialist Cloud Services,01/11/2013,2267.27,Central Government,SME,,Methods Consulting Ltd,Department for Education
Specialist Cloud Services,01/12/2013,2147.94,Central Government,SME,,Methods Consulting Ltd,Department for Education
Specialist Cloud Services,01/09/2013,23670,Central Government,Large,,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO
Specialist Cloud Services,01/09/2013,42084,Central Government,Large,,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO
Software as a Service (SaaS),01/07/2013,15960,Central Government,SME,,GOVDELIVERY INC,Cabinet Office
Specialist Cloud Services,01/07/2012,3601.1,Central Government,SME,,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service
Specialist Cloud Services,01/12/2013,4725,Central Government,SME,,Methods Consulting Ltd,Maritime and Coastguard Agency
Specialist Cloud Services,01/11/2013,5850,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,10340,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,13225,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/10/2013,9870,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/10/2013,12075,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,3300,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,12075,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/12/2013,11550,Central Government,SME,,Methods Consulting Ltd,Skills Funding Agency
Specialist Cloud Services,01/11/2013,222.6,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,4649.4,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,9045.12,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/10/2013,2584.32,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,10557,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,10671.75,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/11/2013,4653.75,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,4507.65,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,10950,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,2949.45,Central Government,SME,,Methods Consulting Ltd,Office for National Statistics
Specialist Cloud Services,01/03/2013,8500,Central Government,SME,,North Highland UK Ltd,Royal Courts of Justice
Specialist Cloud Services,01/07/2012,31832,Central Government,SME,,Quo Imus Ltd,Student Loans Company Limited
Specialist Cloud Services,01/10/2012,11072,Central Government,SME,,Quo Imus Ltd,Student Loans Company Limited
Software as a Service (SaaS),01/09/2013,0,Central Government,Large,,QINETIQ COMMERCE DECISIONS LTD,Education Funding Agency
Specialist Cloud Services,01/12/2013,11880,Central Government,SME,,Methods Consulting Ltd,National Audit Office
Infrastructure as a Service (IaaS),01/09/2013,20713.58,Central Government,SME,,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs
Software as a Service (SaaS),01/08/2013,3980,Central Government,SME,,GOVDELIVERY INC,HM Revenue and Customs
Specialist Cloud Services,01/12/2013,2666.66,Devolved Administrations,SME,,Methods Consulting Ltd,Argyll and Bute Council
Infrastructure as a Service (IaaS),01/08/2012,177.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Infrastructure as a Service (IaaS),01/08/2012,212.95,Devolved Administrations,SME,,MEMSET LTD,ESTYN
Specialist Cloud Services,01/07/2012,999.25,Fire and Rescue,SME,,4C Strategies Ltd,Hampshire Fire and Rescue Service
Specialist Cloud Services,01/10/2012,999.25,Fire and Rescue,SME,,4C Strategies Ltd,Hampshire Fire and Rescue Service
Software as a Service (SaaS),01/09/2012,28000,Local Government,SME,,LEARNING POOL,Telford and Wrekin Council
Specialist Cloud Services,01/11/2013,3000,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,12500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,5250,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,18300,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,7500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/11/2013,15000,Local Government,SME,,Methods Consulting Ltd,Leeds City Council
Specialist Cloud Services,01/03/2013,208950,Central Government,SME,,Axis12 Ltd,Care Quality Commission
Infrastructure as a Service (IaaS),01/09/2013,782.85,Central Government,SME,,MEMSET LTD,Cabinet Office
Infrastructure as a Service (IaaS),01/09/2013,46.95,Central Government,SME,,MEMSET LTD,Cabinet Office
Infrastructure as a Service (IaaS),01/11/2013,539.85,Central Government,SME,,MEMSET LTD,Home Office
Infrastructure as a Service (IaaS),01/11/2013,743.85,Central Government,SME,,MEMSET LTD,Home Office
Infrastructure as a Service (IaaS),01/07/2013,36.95,Central Government,SME,,MEMSET LTD,Cabinet Office
Infrastructure as a Service (IaaS),01/07/2013,36.95,Central Government,SME,,MEMSET LTD,Cabinet Office
Software as a Service (SaaS),01/03/2013,24000,Local Government,SME,,NINIAN SOLUTIONS LTD T/A HUDDLE,Warrington Borough Council
Software as a Service (SaaS),01/01/2014,77333.14,Local Government,SME,,BUSINESSWEB SOFTWARE T/A FIRMSTEP LTD,Warwick District Council
Software as a Service (SaaS),01/10/2013,3388,Local Government,SME,,Methods Consulting Ltd,East Sussex County Council
Specialist Cloud Services,01/11/2013,38760,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/03/2013,100000,Central Government,Large,,Valtech Ltd,Home Office
Software as a Service (SaaS),01/01/2014,432,Central Government,Large,,Softcat,Cabinet Office
Software as a Service (SaaS),01/10/2013,300,Local Government,Large,,Softcat,Royal Borough of Kingston upon Thames Council
Software as a Service (SaaS),01/10/2013,600,Local Government,Large,,Softcat,London Borough of Hounslow Council
Software as a Service (SaaS),01/01/2014,240,Local Government,Large,,Softcat,Royal Borough of Kingston upon Thames Council
Software as a Service (SaaS),01/01/2014,1771.2,Central Government,Large,,Softcat,Cabinet Office
Software as a Service (SaaS),01/10/2013,1230,Local Government,Large,,Softcat,Royal Borough of Kingston upon Thames Council
Software as a Service (SaaS),01/01/2014,984,Local Government,Large,,Softcat,Royal Borough of Kingston upon Thames Council
Software as a Service (SaaS),01/10/2013,2460,Local Government,Large,,Softcat,London Borough of Hounslow Council
Specialist Cloud Services,01/02/2014,10235,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/02/2014,5268.3,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/02/2014,7024.4,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/12/2013,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,3392.5,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,840,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,3392.55,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,3392.55,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2035.5,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,1680,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/12/2013,2035.5,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,3392.55,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,840,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,2100,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Specialist Cloud Services,01/02/2014,3392.55,Central Government,Large,,Badenoch & Clark Ltd,Home Office
Software as a Service (SaaS),01/03/2013,50000,Health,Large,,QINETIQ COMMERCE DECISIONS LTD,University Hospital Birmingham NHS Trust
Specialist Cloud Services,01/02/2014,7500,Local Government,SME,,Methods Consulting Ltd,London Borough of Hounslow Council
Specialist Cloud Services,01/02/2014,8500,Central Government,SME,,Methods Consulting Ltd,The Pensions Regulator
Infrastructure as a Service (IaaS),01/12/2013,4177.86,Central Government,SME,,MDS TECHNOLOGIES LTD,Rural Payments Agency
Infrastructure as a Service (IaaS),01/10/2013,5217.72,Central Government,SME,,MDS TECHNOLOGIES LTD,Rural Payments Agency
Specialist Cloud Services,01/02/2014,33300,Central Government,SME,,Methods Consulting Ltd,Home Office
Specialist Cloud Services,01/02/2013,10000,Central Government,SME,,Swirrl IT Limited,Department For Communities And Local Government
Specialist Cloud Services,01/03/2013,23000,Central Government,SME,,Swirrl IT Limited,Department For Communities And Local Government
Specialist Cloud Services,01/03/2013,377.9,Central Government,SME,,Swirrl IT Limited,Department For Communities And Local Government
Specialist Cloud Services,01/12/2013,4875,Central Government,SME,,Swirrl IT Limited,Department For Communities And Local Government
Software as a Service (SaaS),01/02/2014,21400,Local Government,Large,,Softcat,Coventry City Council
